source,review_description,rating,review_date
Google Play,"Hey team instagram, There are a lot of in bugs in this app pls fix them, thank you",4,23-09-23 0:00
Google Play,Tell us more,5,23-09-23 0:00
Google Play,"No Hindi songs, 1 star rating",1,23-09-23 0:00
Google Play,Plz give me Reels option in My I'd tha reels are not working plz I request you sir,5,23-09-23 0:00
Google Play,Myy instagram is not working properly from last night plz helo,4,23-09-23 0:00
Google Play,My instagram is not working properly. I can't send pics or video to anyone sometimes I can't even send messages. Please check the issue,1,23-09-23 0:00
Google Play,It is most beautiful app in today's world,5,23-09-23 0:00
Google Play,When I upload story Hindi songs not available,5,23-09-23 0:00
Google Play,Feeling good,5,23-09-23 0:00
Google Play,It is very slow to opening,3,23-09-23 0:00
Google Play,Good experience,4,23-09-23 0:00
Google Play,It's app is very use ful,5,23-09-23 0:00
Google Play,Suddenly I can't insert certain songs on my stories,1,23-09-23 0:00
Google Play,Last 2days faciing problem I don't select music and search any music please solve thise problem fast I m iterate,1,23-09-23 0:00
Google Play,Song doesn't available during uploading the post,1,23-09-23 0:00
Google Play,Good app instagram,5,23-09-23 0:00
Google Play,Music feature is not working,1,23-09-23 0:00
Google Play,I ask the app developers to take into notice that after some updates the notes that are uploaded by the friends are nnot sbown. I ask the app developers to rectify it.,5,23-09-23 0:00
Google Play,Dp open home mai time lga raha h,1,23-09-23 0:00
Google Play,Very bad app it's a bag of burgs,1,23-09-23 0:00
Google Play,"I'm facing an issue with selecting songs for my story, songs are not available and I can't find any songs for my story I nee this issue to resolved by fast.",1,23-09-23 0:00
Google Play,The video/pic that I save… Y I cannot see in my album,1,23-09-23 0:00
Google Play,I'm facing lots of problem using Instagram and there are so many bugs I haven't heard my pic music. There are so many problems in the app.,1,23-09-23 0:00
Google Play,"Message and chat theme is not refereshing and loading in active chats. Whenever we sent a message on active chats, its not visible in sent area but the message is already sent and viewed by receipient but I can't see.",3,23-09-23 0:00
Google Play,Sometimes doesn't work,4,23-09-23 0:00
Google Play,Instagram just removed my comment from reels starting that it is against their community,1,23-09-23 0:00
Google Play,Good helpful app,5,23-09-23 0:00
Google Play,Ko foto yg udah disave malah ga muncul digalery sih? Ini kenapa?,2,23-09-23 0:00
Google Play,Good app but coming to the point there is no downloading option in app direct we have to install another app so I not satisfied much,3,23-09-23 0:00
Google Play,I was good to be honest with the effect but WHYYYYYYYYY can't I download my video and picture right now?,2,23-09-23 0:00
Google Play,Draft video me sounds gayab hi jata h but axa aap h privacy axi h safe and secure h,4,23-09-23 0:00
Google Play,"Ok app. A little confusing with some glitches, for example, some times when you first upload a video it only shows part of it and you have to restart the process for the whole video to show. There are other problems like this.",3,23-09-23 0:00
Google Play,Mast ha,4,23-09-23 0:00
Google Play,"So many gliches are there. Can't see others post, messages loaded of a long time.",1,23-09-23 0:00
Google Play,Badhai aapka update,1,23-09-23 0:00
Google Play,Very disgusting app. Only English songs are showing in my story no Hindi songs,1,23-09-23 0:00
Google Play,Not getting all instagram updates as well,4,23-09-23 0:00
Google Play,"Full of bugs, Messages not working properly whenever I am chatting with someone then new messages don't show directly I have to go back and open chat again to see new messages.",1,23-09-23 0:00
Google Play,Bhojpuri and Hindi songs are not available on OnePlus c2 lite phone. Pls fix that problem.,2,23-09-23 0:00
Google Play,"One, it doesn't let me post my reels, let alone save it to drafts. Two, it automatically increases my mobile storage for no reason, and the app ,shows 70+ GB all alone and it's really irritating to work with that.",1,23-09-23 0:00
Google Play,Sahi bai bahi,4,23-09-23 0:00
Google Play,Why can't I post a picture on the story?,1,23-09-23 0:00
Google Play,Wo…,2,23-09-23 0:00
Google Play,This is a goo social place but it has so many fake accounts on it most are from Africa they lie harassing people this app could protect the real people that use it not the fake one,5,23-09-23 0:00
Google Play,sometime there's bug among the system regarding the software feature but overall not bad,4,23-09-23 0:00
Google Play,I delete & download for 4 times and still don't have the music on my ig :(,1,23-09-23 0:00
Google Play,I am luyt,5,23-09-23 0:00
Google Play,Modda lrkka vundhi appp,1,23-09-23 0:00
Google Play,I've been facing aissues since two days &I could not select a pic from my galary of my choice to send a …..I've tried everthing I guess it's hack,1,23-09-23 0:00
Google Play,"When I take pictures on the app they don't save like how they used to before, and I have tried everything. Any tips on how to fix the issue?",4,23-09-23 0:00
Google Play,I have been facing problem since 3 days that I'm unnable to find any indian songs,1,23-09-23 0:00
Google Play,App is time consuming.,1,23-09-23 0:00
Google Play,It's a great social media platform but it glitches and so bugs even it happens when I switched to my new phone,3,23-09-23 0:00
Google Play,I need help me 1,1,23-09-23 0:00
Google Play,I can't update this app….idk why,2,23-09-23 0:00
Google Play,Bhut!!!,4,23-09-23 0:00
Google Play,Super app in time pass in reels and chatting app but singles,1,23-09-23 0:00
Google Play,Use full app,3,23-09-23 0:00
Google Play,It's okay but I couldn't make the video status more than 15 seconds.,3,23-09-23 0:00
Google Play,great,4,23-09-23 0:00
Google Play,My posts are showing wrong posting time… Other than that there are many bugs I am facing.,1,23-09-23 0:00
Google Play,"Hindi song has disappeared in new version instagra,",2,23-09-23 0:00
Google Play,Nice,4,23-09-23 0:00
Google Play,"Only recently started getting one time comments flagged as spam for no apparent reason, failure to load DMs, notes, limited interactions, only because of a faulty algorithm flagging standard content as violations.",1,23-09-23 0:00
Google Play,When I see story this song is currently unavailable this problem is very irritating please solve this problem,1,23-09-23 0:00
Google Play,BHAI INSTA M BHUT MISTAKE HO RHA H MSG JAATE H BUT DIKHTE NHI ISKO SAHI KRE,5,23-09-23 0:00
Google Play,My instagram is glitching ,2,23-09-23 0:00
Google Play,all music has been removed from my story reels and music which I have saved that also and if I m searching the music which I want to put on story reels post result not found in showing me,2,23-09-23 0:00
Google Play,This is good app but I have 0 gf because I gave 3,3,23-09-23 0:00
Google Play,Please put extra emoji in instagram keyboard,4,23-09-23 0:00
Google Play,Simply the worst app,1,23-09-23 0:00
Google Play,The worse thing is to deal with a security break,2,23-09-23 0:00
Google Play,Fix your story bug,1,23-09-23 0:00
Google Play,Mast,5,23-09-23 0:00
Google Play,I am very happy to use instagram,4,23-09-23 0:00
Google Play,Time wasted app,1,23-09-23 0:00
Google Play,Slower,1,23-09-23 0:00
Google Play,Woww is app amazing,3,23-09-23 0:00
Google Play,Why in the musicof the story songs are not available in my instagram,3,23-09-23 0:00
Google Play,"For being a PICUTRE/VIDEO app, you think it'd let you resize your photos. If I have a photo that obviously needs to be in square format, why would you not have an option to fit the ENTIRE image in the square while maintaining scaling? It's so simple. On top of that, there's almost no point of saving drafts. Because when you go back to the same draft, it's corrupted 99% of the time and you have to start all over. Pretty ridiculous.",1,15-09-23 0:00
Google Play,"I've been using this app everyday for a decade, but recently it's gotten to the point it is unusable. Gifs don't show up in chats when you search for them, half of them are blank. When you do send one it is either invisible or cropped and crashes the app. I've also now lost the ability to post a real song to a story or note. All that shows up is strange royalty free music from overseas. I even tried to report a bug in-app, but that feature is also broken. Go figure.",1,18-09-23 0:00
Google Play,The app was working perfectly fine for the longest time and just randomly when I go to pick a song for my story it doesn't show all the ones that I have used before. Like when I look up a very popular or normal song before it would show up but now it doesn't show it at all for any songs. The app is completely updated and my phone's updated so I don't know what the issue is and they need to fix it because it's bad.,3,18-09-23 0:00
Google Play,"Auto refresh is incredibly annoying. It usually happens while I am in the middle of looking through the pics on a post! I am perfectly capable of deciding on my own when I want to refresh my feed. The number of ads and suggested posts seems to be steadily increasing. I follow people so I can actually look at their pics, not spend half an hour mostly scrolling past other stuff. App is steadily becoming worse.",3,06-09-23 0:00
Google Play,"App is overall decent and works well enough for me. It's been glitching though recently for me and multiple of my friends though via the post audio. Trying to add a song or listen to a song on a regular post that had it gives you the message ""Audio Unavailable"" when it's not since that would mean every song imagineable is unavailable for the normal posts. So, don't know what's up with that but it's frustrating since I like having that feature but now it's suddenly stopped working.",3,16-09-23 0:00
Google Play,"My only concerns with the app right now is music/audio that I want to add into my stories. My favorite artist, also one of the biggest bands so they should be on there, stopped popping up on my acct. I asked a friend to see if they come up on her end and they do so I'm wondering if it's a glitch after an update? Music has been giving me issues before this by either not playing or playing for 1-2 seconds and then stopping completely. I just need this fixed and not be such a headache.",2,17-06-23 0:00
Google Play,"So many bugs! I recently switched to Android and am surprised on how many glitches there are. Certain features appear and disappear when trying to post a story or reel, when you scroll past a reel or video it doesn't start over when you go back, so you have to wait for the whole thing to play before it loops again. Sometimes it freezes, I can't go back to my feed from the chats. Update: For days now it doesn't allow you to search music on stories and it stopped showing song names on other posts",3,24-09-23 0:00
Google Play,"After more than a decade, this app still has basic problems. You can feel free to turn the sound off on all videos, that is until you get a notification. When you click on the notification to read it, you will be forced to endure the sound of the video for the entirety of writing a reply or whatever else you're doing. This is an issue on iOS and Android. There is no foldable support. The experience is inconsistent from session to session. Hopefully a better app emerges eventually.",1,02-09-23 0:00
Google Play,"I'm using this on Bluestacks, and the compatibility of some features is a little wonky. For example, scrolling through and selecting multiple pictures in the ""add post"" feature is a little clunky. There's also no way to reorder the photos in a post once you've selected them, which means you have to resize and re-crop everything if you want to change the order. But, compatibility issues are to be expected when using an app for a phone on a desktop computer.",5,15-09-23 0:00
Google Play,"Overall experience is good but today i faced a problem regarding the songs for stories. The prob i faced is that i can't find any songs anymore, to be specific I've posted stuffs using the song ""murder on my mind"" but now i can't find it anymore. Instagram is only giving me a short list of specific songs for about 20 songs, i can't find any other songs except for those 20 songs. Please fix it.",3,21-09-23 0:00
Google Play,"I have dark mode turned on, but when I visit a link on Instagram, and then after I come back to the app, the screen goes white. The reels also lags if the video is fast paced? compared to slow motion videos that work fine.",3,16-09-23 0:00
Google Play,Their was a bug in the app from last 2 weeks and so many android users are going through this . I reported more than 10 times but their was no responce from team instagrame . so i decided to give it a zero star rating because now it is almost my 3rd week started from facing same bug . The bug is that my insta music is not properly working and not showing more songs . So many my friends are going through the same problem .... Shame on you Team Instagram,1,21-09-23 0:00
Google Play,"Whenever I join a call Instagram automatically shutdown the app and take time to rejoin. I have been facing a lot of issues these days , i can't see the post someone has send me , or when I text them i can't see what I texted until I go back to the homepage , and this is very frequent. I would really appreciate if Instagram do something about it",4,21-09-23 0:00
Google Play,"Android support is non existent. I don't even know how long this feature has been out but Android still doesn't have it. The ""Add yours"" feature in stories doesn't even exist for me at all and there isn't like a switch or a button to press to enable it. This is very sad and I wonder what else isn't supported or out for android yet that Apple already has...",2,26-09-23 0:00
Google Play,"Like all programs, this app can take a bit of getting used to. This is not uncommon. What is rare, is the comfortable form and function. Easy to navigate menus elevate this app to soaring heights.",5,20-09-23 0:00
Google Play,There is a bug in the pixel fold. The delete button for some posts don't show up. Same posts I checked on my iPhone and Samsung phone they are available only on the pixel they are not .. please fix.. I tried the app in folded and unfolded orientation same issue,3,16-09-23 0:00
Google Play,The filters and editing tools aren't really working because the editions are not posible to save. I can only upload and share pics just the way they are. Too bad.,2,18-09-23 0:00
Google Play,"Instagram is behaving so weird from the past few weeks ..can't add the music of my choice to insta stories ,I click on a sent post doesn't open.. with the launching updates it shud have become better but instead it's becoming worse.",1,26-09-23 0:00
Google Play,"Used to be good. Got worse with updates. You used to be able to see how many liked your pics. Not anymore. Used to be able to scroll through your time-line top to bottom. Not anymore. Now, it only shows you new posts. After that, you click ""view more"" or it fills your page with recommendations. Sometimes new posts you liked disappear, and you can only view them if you go to the post's followers page. Perfectly working app ruined. Just terrible.",1,05-09-23 0:00
Google Play,Before when I used it it was working fine but after a while I was not able to send pics to my friends like I can't also even use any filter and not able to see my own text then a new problem created I wasn't able to post anything and if it won't fixed then I will not able to use it so please fix it right now!,3,25-09-23 0:00
Google Play,"There is many bugs i can't find any of song or music artist and whenever i post picture in my story and wanna put a song for it ,the song option in the stories didn't show any song and not even the artist ,even in the reels and the posts it didn't show the songs and the song artist so i request instagram tofix this bug as fast as possible",1,17-09-23 0:00
Google Play,"Use to love this app, now I'm extremely disappointed the more updates it gets. I seriously can not stand how I can't see new posts anymore and discover new people. Now, all I can see in the tags are people who already have a heap of followers. Bring back recent posts! This was how I was getting the majority of my following was through tags. This app seems to be more and more about $$$ than the experience. Forcing small creators to pay for ads to get noticed is gross.",3,19-09-23 0:00
Google Play,This is the best app I have downloaded in my entire life ! Although I have a few complaints about unnecessary changing of the display it doesn't really matter that much. It has helped me to maintain relationships with people far away from places ! Love this app,5,20-09-23 0:00
Google Play,"Very poor enforcement when it comes to scam accounts or being hacked. If you ask me, I think Congress needs to enact a digital identities protection act as an extension of the Fair Credit Reporting Act because having accounts be taken over by scammers and Instagram refusing to intervene is like someone stealing your identity and can be very expensive especially if you're a legitimate business with a very vast following. They will never do the right thing on their own.",3,28-09-23 0:00
Google Play,"This app is good for those who signup for entertainment however, not very user-friendly to creators as it has a lot of glitches & no where to help. I am awaited for some competition to come in place so that I might switch to a better place to create.",2,09-09-23 0:00
Google Play,I face many bugs and issue on Instagram like i tap many time on log out option but not log out. Chat message update take some time and many more. Social media platform is good but resolve this bugs and issues.,2,25-09-23 0:00
Google Play,This app is relly good had no problems with my chromebook. And I Love this app,5,27-09-23 0:00
Google Play,Instagram is the best social site that I have ever used.,5,26-09-23 0:00
Google Play,i don't know why i can't make a broadcast chanel on insta and i also update it then why it's not update yet?,2,24-09-23 0:00
Google Play,Eventually ok,5,23-09-23 0:00
Google Play,"Really active content wise, connects also connects my facebook making it easier managing my social media presence",4,21-09-23 0:00
Google Play,Instagram Is Beyond awesome.!!!!!,5,19-09-23 0:00
Google Play,unclear pictures,3,16-09-23 0:00
Google Play,Instagram is a very nice app that was created so u can be yourself and make new friends. Its a fun app until people try and talk bad about u and ur account. But i still love it!,5,11-09-23 0:00
Google Play,"i like but i used my laptop and i cannot share some id , can u plz ig for laptop one?",4,11-09-23 0:00
Google Play,its been saying install for hours please fix,2,09-09-23 0:00
Google Play,Unable locate or subscrib to iammichelemorroneofficial site. I have tried on my Samsung phone and on my laptop. Can you please assist me in this matter? Thank you.,1,08-09-23 0:00
Google Play,Its a very great platform to share or to get any kind of information and as well great platform to get educated and to educate . and hoping more systamatic things will be added to this app .,5,06-09-23 0:00
Google Play,Nice,3,04-09-23 0:00
Google Play,it is good but camera is not working on my chromebook.,4,04-09-23 0:00
Google Play,Its good but instagram is way too open and expoing for teens and kids,2,04-09-23 0:00
Google Play,so fun and its awesome,5,04-09-23 0:00
Google Play,"Terrible on chromebook. Editing feeds is terrible. The text disappears, location not possible. LIke the worst nightmare.",1,02-09-23 0:00
Google Play,its a good app pero it crashses alot.,5,01-09-23 0:00
Google Play,i text my gfn everyday on it. its a W app fr,5,01-09-23 0:00
App Store,"I have not received this update, although all of my friends have. I have tried to be patient, & I have also tried fixing it. I restarted my phone, I updated my phone, I deleted the app, I logged out of my account, I tried updating the app multiple times, & nothing. No music option on my notes. I don't understand why I am being excluded. I am hurt, & overall shocked that Instagram could exclude someone like this. I would appreciate if you would give me this update. I don't find it nice to be excluding anyone from your updates, & I don't know why you chose me to exclude. But it is unfair, and I would like to receive this update as soon as possible. I think I deserve this, especially after you never let me use the ""Add Yours"" stickers as well. I have since gotten over it, but now I cannot let you exclude me any longer. Please give me this update, I do not deserve this. It's truly disgusting & rude of you to just leave me out. I really want this update, I am so mad you chose to leave me out of this update, out of all of the updates you have made. I love music, & I really would like to put it on my notes. I don't know why you're targeting me like this, but it needs to stop. Please provide me with this update, I would love to put music on my notes.",5,25-09-23 0:00
App Store,"Dear Instagram, i don't wanna be mean but I have had an issue with your recent update, which allows users to put a 30 second music clip on their notes. I have not received this update, although all of my friends have. I have tried to be patient, & I have also tried fixing it. I restarted my phone, I updated my phone, I deleted the app, I logged out of my account, I tried updating the app multiple times, & nothing. No music option on my notes. I don't understand why I am being excluded. I am hurt, & overall shocked that Instagram could exclude someone like this. I would appreciate if you would give me this update. I don't find it nice to be excluding anyone from your updates, & I don't know why you chose me to exclude. But it is unfair, and I would like to receive this update as soon as possible. I think I deserve this, especially after you never let me use the ""Add Yours"" stickers as well. I have since gotten over it, but now I cannot let you exclude me any longer. Please give me this update, I do not deserve this. It's truly disgusting & rude of you to just leave me out. I really want this update, I am so mad you chose to leave me out of this update, out of all of the updates you have made. I love music, & I really would like to put it on my notes. I don't know why you're targeting me like this, but it needs to stop. Please provide me with this update, I would love to put music on my notes. Thank you.",5,12-09-23 0:00
App Store,Instagram please give me the feature to add music to my notes please.,5,27-09-23 0:00
